第0世代平均適応度 0.000000
  4 : R P D M , C Z Z Z , C E U N , W A T F      5
  5 : U Y H M , D Z Z Z , C O U N , V E T A      5
  6 : U P H M , D Z Z Z , C E U U , S E T M      5
  7 : U P H Z , C Z Z Z , D E U N , V A T S      5
  8 : R Y D S , C Z Z Z , D O U U , R A T Q      5
  9 : U Y C M , C Z Z Z , C E U N , U A T F      5
 10 : K Y H M , D Z Z Z , C E Q N , U D T H      5
 11 : J Y H S , C Z Z Z , D E U U , R A T Q      5
 12 : U P D Z , C Z Z Z , D E U N , U A T Q      5
 13 : R P H S , C Z Z Z , C E L N , W A T F      5
 14 : B Y J S , C Z Z Z , D O Q N , R E T Q      5
 15 : K Y H S , C Z Z Z , C E U U , W A Y Q      5
 16 : R Y C N , C Z Z Z , D E U N , S F H Q      5
 17 : R Y H N , C Z Z Z , C E U N , U A T Q      5
 18 : R Y C M , C Z Z Z , C E U N , U A T F      5
 19 : R Y H N , C Z Z Z , C E U N , U A T H      5
 20 : R Y C M , C Z Z Z , D E T U , V B T F      5
 21 : K N H M , C Z Z Z , C O U U , W E Y H      5
 22 : B Y H M , C Z Z Z , C X Q N , U E R Q      5
 23 : J Y H M , C Z Z Z , C X Q U , V A T F      5
 24 : U Y D Z , C Z Z Z , C O U U , U D T Q      5
 25 : R Y H M , C Z Z Z , C E T U , V D T F      5
 26 : K P H N , D Z Z Z , C X U N , S A Y Q      5
 27 : J Y J S , C Z Z Z , D O U N , R A T Q      5
 28 : U F D N , D Z Z Z , C O U N , W E T Q      5
 29 : R Y H S , C Z Z Z , C E L N , V A T Q      5
第13世代平均適応度 5.000000
  0 : K Y H S , D Z Z Z , C E U N , R A T Q      5
  1 : K N H M , C Z Z Z , C O U U , W E Y H      5
  2 : U F D N , C Z Z Z , D O U N , U E T Q      5
  3 : R Y H N , C Z Z Z , D E L N , V F T Q      5
  4 : U Y H M , C Z Z Z , C O U N , V A T A      5
  5 : J Y C N , C Z Z Z , C E Q U , S F T F      5
  6 : K F H N , D Z Z Z , C O U N , W E Y Q      5
  7 : R Y D N , C Z Z Z , C E U N , U A T F      5
  8 : R P H S , C Z Z Z , C E L U , W A T H      5
  9 : J Y H N , C Z Z Z , C X U N , V A H F      5
 10 : U Y D N , D Z Z Z , C X Q U , W A T Q      5
 11 : U P D Z , C Z Z Z , D E U N , U A T Q      5
 12 : R Y C S , C Z Z Z , C E U N , S A H Q      5
 13 : K Y D S , C Z Z Z , D X U N , S A T H      5
 14 : K N H M , C Z Z Z , C O U N , W E Y F      5
 15 : J Y H M , D Z Z Z , C X Q U , V E T F      5
 16 : R P H M , C Z Z Z , C E U N , W A T Q      5
 17 : J Y D N , D Z Z Z , C O U U , V A T F      5
 18 : J P H Z , C Z Z Z , D E U N , R A T S      5
 19 : R Y J M , C Z Z Z , C O U N , R A T F      5
 20 : K Y D N , D Z Z Z , C X U X , U A T H      5
 21 : R Y C N , C Z Z Z , D E U U , S B T F      5
 22 : B P D S , C Z Z Z , D E Q N , W E T Q      5
 23 : K Y J S , C Z Z Z , D O Q N , R A I H      5
 24 : R Y D N , D Z Z Z , C X U N , U A T F      5
 25 : K Y H M , C Z Z Z , C E Q N , S D Y H      5
 26 : R Y C M , C Z Z Z , C E U N , W A T F      5
 27 : U P D G , C Z Z Z , D E U N , U A T Q      5
 28 : B Y D N , C Z Z Z , C X U N , S E T Q      5
 29 : R Y D N , C Z Z Z , C O U U , R A Y Q      5
第14世代平均適応度 4.833333
  0 : K Y D N , D Z Z Z , C X Q U , R A T Q      5
  1 : J Y D N , C Z Z Z , C X U U , V A T H      5
  2 : K Y D N , C Z Z Z , C X U N , U A T H      5
  3 : K P H M , C Z Z Z , C E Q N , S D T H      5
  4 : R Y H N , D Z Z Z , D E L N , V A T Q      5
  5 : B Y D M , C S Z Z , N X U N , S A T F      0
  6 : U Y H S , D Z Z Z , C E U N , W A T Q      5
  7 : K Y J N , C Z Z Z , D O Q N , R A Y H      5
  8 : J Y J M , C Z Z Z , C O Q U , V E T H      5
  9 : J Y H M , C Z Z Z , C E Q N , S F Y F      5
 10 : K Y H M , C Z Z Z , C X Q U , S E T F      5
 11 : K Y D M , C Z Z Z , C E U N , S D Y H      5
 12 : U F D N , C Z Z Z , D O U N , S E T F      5
 13 : R Y C N , C Z Z Z , D O U N , U A H Q      5
 14 : K Y H S , C Z Z Z , D X U N , S A T A      5
 15 : U F D N , C Z Z Z , C O U N , W E T Q      5
 16 : R Y D S , C Z Z Z , D E U N , W E T Q      5
 17 : U Y D N , D Z Z Z , D X U U , W B T F      5
 18 : J Y C N , C Z Z Z , C E Q U , U F T Q      5
 19 : K P D S , C Z Z Z , K E Q N , S A T H      5
 20 : R P D G , C Z Z Z , D E U U , W A T Q      5
 21 : K Y H S , D Z Z Z , C O B N , W E T Q      5
 22 : R Y H M , D Z Z Z , C O U U , V E T F      5
 23 : R Y C N , C Z Z Z , D E U U , S B Y H      5
 24 : R P H M , C Z Z Z , D E U N , U A T Q      5
 25 : R Y J N , C Z Z Z , C O U N , R A T F      5
 26 : R Y H M , C Z Z Z , C E U N , W A Y Q      5
 27 : K Y C N , C Z Z Z , C E Q U , S D T H      5
 28 : K Y H M , C Z Z Z , C E Q N , S H Y H      5
 29 : R Y D N , C Z Z Z , C E U N , S A T Q      5
第15世代平均適応度 5.000000
  0 : U Y H S , D Z Z Z , D X U N , S A T A      5
  1 : K Y D N , D Z Z Z , C X Q U , R A T F      5
  2 : R Y H N , D Z Z Z , C E V U , W B Y Q      5
  3 : J Y C N , C Z Z Z , C X Q U , S D T H      5
  4 : R Y D N , C Z Z Z , C E U N , S A T H      5
  5 : R Y H M , C Z Z Z , C O Q U , V H Y H      5
  6 : R P D N , C Z Z Z , D E U U , W A T Q      5
  7 : U Y D N , C Z Z Z , D X U N , W A T F      5
  8 : U P D G , C Z Z Z , D O U N , W A T F      5
  9 : J Y C M , C Z Z Z , C E Q U , U F T Q      5
 10 : J Y H M , C Z Z Z , C E Q N , S F Y Q      5
